
Host: n013

Timers On : Mon Sep  6 18:17:20 2021
Timers Off: Mon Sep  6 18:17:32 2021

Wall Time:       12.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.733u      0.000s      0.454w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.009w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.933u      0.017s      0.567w      1 calls
SAD Guess                           :      0.900u      0.017s      0.545w      1 calls
HF: Form G                          :      0.200u      0.017s      0.121w     14 calls
JK: D                               :      0.000u      0.000s      0.000w     14 calls
JK: USO2AO                          :      0.017u      0.000s      0.003w     14 calls
JK: JK                              :      0.183u      0.017s      0.112w     14 calls
PK computes JK                      :      0.183u      0.017s      0.112w     14 calls
JK: AO2USO                          :      0.000u      0.000s      0.004w     14 calls
HF: Form F                          :      0.000u      0.000s      0.001w     14 calls
HF: Form D                          :      0.000u      0.000s      0.000w     14 calls
HF: DIIS                            :      0.033u      0.000s      0.022w     13 calls
DIISManager::add_entry              :      0.000u      0.000s      0.004w     13 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.004w     13 calls
bMatrix setup                       :      0.000u      0.000s      0.001w     13 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     13 calls
New vector                          :      0.000u      0.000s      0.001w     13 calls
HF: Form C                          :      0.017u      0.000s      0.011w     13 calls
ccenergy                            :      1.550u      0.917s      5.406w      1 calls
F build                             :      0.117u      0.000s      0.069w     14 calls
Wmbej build                         :      0.183u      0.050s      0.139w     14 calls
C->Wmbej                            :      0.017u      0.000s      0.004w     14 calls
F->Wmbej                            :      0.033u      0.050s      0.064w     14 calls
E->Wmbej                            :      0.000u      0.000s      0.014w     14 calls
X->Wmbej                            :      0.133u      0.000s      0.052w     14 calls
Z                                   :      0.033u      0.033s      0.029w     14 calls
T2 Build                            :      0.533u      0.267s      0.477w     14 calls
BT2                                 :      0.283u      0.183s      0.300w     14 calls
ABCD:new                            :      0.283u      0.183s      0.300w     14 calls
ABCD:S                              :      0.083u      0.067s      0.103w     14 calls
ABCD:A                              :      0.150u      0.033s      0.101w     14 calls
ABCD:axpy                           :      0.050u      0.067s      0.082w     14 calls
FT2                                 :      0.050u      0.017s      0.022w     14 calls
WmbejT2                             :      0.067u      0.033s      0.058w     14 calls
CT2                                 :      0.050u      0.017s      0.048w     14 calls
cctriples                           :      0.617u      0.067s      0.638w      1 calls
ET_RHF                              :      0.583u      0.017s      0.363w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.733u      0.000s      0.454w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.009w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.933u      0.017s      0.567w      1 calls
| SAD Guess                         :      0.900u      0.017s      0.545w      1 calls
HF: Form G                          :      0.200u      0.017s      0.121w     14 calls
| JK: D                             :      0.000u      0.000s      0.000w     14 calls
| JK: USO2AO                        :      0.017u      0.000s      0.003w     14 calls
| JK: JK                            :      0.183u      0.017s      0.112w     14 calls
| | PK computes JK                  :      0.183u      0.017s      0.112w     14 calls
| JK: AO2USO                        :      0.000u      0.000s      0.004w     14 calls
HF: Form F                          :      0.000u      0.000s      0.001w     14 calls
HF: Form D                          :      0.000u      0.000s      0.000w     14 calls
HF: DIIS                            :      0.033u      0.000s      0.022w     13 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.004w     13 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.004w     13 calls
| | bMatrix setup                   :      0.000u      0.000s      0.001w     13 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w     13 calls
| | New vector                      :      0.000u      0.000s      0.001w     13 calls
HF: Form C                          :      0.017u      0.000s      0.011w     13 calls
ccenergy                            :      1.550u      0.917s      5.406w      1 calls
| F build                           :      0.117u      0.000s      0.069w     14 calls
| Wmbej build                       :      0.183u      0.050s      0.139w     14 calls
| | C->Wmbej                        :      0.017u      0.000s      0.004w     14 calls
| | F->Wmbej                        :      0.033u      0.050s      0.064w     14 calls
| | E->Wmbej                        :      0.000u      0.000s      0.014w     14 calls
| | X->Wmbej                        :      0.133u      0.000s      0.052w     14 calls
| Z                                 :      0.033u      0.033s      0.029w     14 calls
| T2 Build                          :      0.533u      0.267s      0.477w     14 calls
| | BT2                             :      0.283u      0.183s      0.300w     14 calls
| | | ABCD:new                      :      0.283u      0.183s      0.300w     14 calls
| | | | ABCD:S                      :      0.083u      0.067s      0.103w     14 calls
| | | | ABCD:A                      :      0.150u      0.033s      0.101w     14 calls
| | | | ABCD:axpy                   :      0.050u      0.067s      0.082w     14 calls
| | FT2                             :      0.050u      0.017s      0.022w     14 calls
| | WmbejT2                         :      0.067u      0.033s      0.058w     14 calls
| | CT2                             :      0.050u      0.017s      0.048w     14 calls
cctriples                           :      0.617u      0.067s      0.638w      1 calls
| ET_RHF                            :      0.583u      0.017s      0.363w      1 calls

**************************************************************************************
