
Host: n012

Timers On : Mon Sep  6 18:17:20 2021
Timers Off: Mon Sep  6 18:17:32 2021

Wall Time:       11.40 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.733u      0.017s      0.444w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.010w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.001w      1 calls
HF: Guess                           :      0.933u      0.000s      0.564w      1 calls
SAD Guess                           :      0.900u      0.000s      0.542w      1 calls
HF: Form G                          :      0.183u      0.000s      0.111w     13 calls
JK: D                               :      0.000u      0.000s      0.000w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.003w     13 calls
JK: JK                              :      0.167u      0.000s      0.102w     13 calls
PK computes JK                      :      0.167u      0.000s      0.102w     13 calls
JK: AO2USO                          :      0.017u      0.000s      0.004w     13 calls
HF: Form F                          :      0.000u      0.000s      0.001w     13 calls
HF: Form D                          :      0.000u      0.000s      0.000w     13 calls
HF: DIIS                            :      0.033u      0.000s      0.021w     12 calls
DIISManager::add_entry              :      0.000u      0.000s      0.004w     12 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.004w     12 calls
bMatrix setup                       :      0.000u      0.000s      0.001w     12 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     12 calls
New vector                          :      0.000u      0.000s      0.001w     12 calls
HF: Form C                          :      0.017u      0.000s      0.010w     12 calls
ccenergy                            :      1.617u      1.000s      4.211w      1 calls
F build                             :      0.083u      0.050s      0.071w     14 calls
Wmbej build                         :      0.167u      0.050s      0.142w     14 calls
C->Wmbej                            :      0.000u      0.017s      0.005w     14 calls
F->Wmbej                            :      0.067u      0.017s      0.064w     14 calls
E->Wmbej                            :      0.000u      0.017s      0.014w     14 calls
X->Wmbej                            :      0.100u      0.000s      0.053w     14 calls
Z                                   :      0.067u      0.017s      0.029w     14 calls
T2 Build                            :      0.483u      0.300s      0.487w     14 calls
BT2                                 :      0.300u      0.217s      0.307w     14 calls
ABCD:new                            :      0.300u      0.217s      0.307w     14 calls
ABCD:S                              :      0.067u      0.083s      0.110w     14 calls
ABCD:A                              :      0.133u      0.033s      0.102w     14 calls
ABCD:axpy                           :      0.033u      0.083s      0.080w     14 calls
FT2                                 :      0.017u      0.033s      0.023w     14 calls
WmbejT2                             :      0.067u      0.017s      0.059w     14 calls
CT2                                 :      0.067u      0.017s      0.049w     14 calls
cctriples                           :      0.633u      0.067s      0.605w      1 calls
ET_RHF                              :      0.583u      0.033s      0.370w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.733u      0.017s      0.444w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.010w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.001w      1 calls
HF: Guess                           :      0.933u      0.000s      0.564w      1 calls
| SAD Guess                         :      0.900u      0.000s      0.542w      1 calls
HF: Form G                          :      0.183u      0.000s      0.111w     13 calls
| JK: D                             :      0.000u      0.000s      0.000w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.003w     13 calls
| JK: JK                            :      0.167u      0.000s      0.102w     13 calls
| | PK computes JK                  :      0.167u      0.000s      0.102w     13 calls
| JK: AO2USO                        :      0.017u      0.000s      0.004w     13 calls
HF: Form F                          :      0.000u      0.000s      0.001w     13 calls
HF: Form D                          :      0.000u      0.000s      0.000w     13 calls
HF: DIIS                            :      0.033u      0.000s      0.021w     12 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.004w     12 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.004w     12 calls
| | bMatrix setup                   :      0.000u      0.000s      0.001w     12 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w     12 calls
| | New vector                      :      0.000u      0.000s      0.001w     12 calls
HF: Form C                          :      0.017u      0.000s      0.010w     12 calls
ccenergy                            :      1.617u      1.000s      4.211w      1 calls
| F build                           :      0.083u      0.050s      0.071w     14 calls
| Wmbej build                       :      0.167u      0.050s      0.142w     14 calls
| | C->Wmbej                        :      0.000u      0.017s      0.005w     14 calls
| | F->Wmbej                        :      0.067u      0.017s      0.064w     14 calls
| | E->Wmbej                        :      0.000u      0.017s      0.014w     14 calls
| | X->Wmbej                        :      0.100u      0.000s      0.053w     14 calls
| Z                                 :      0.067u      0.017s      0.029w     14 calls
| T2 Build                          :      0.483u      0.300s      0.487w     14 calls
| | BT2                             :      0.300u      0.217s      0.307w     14 calls
| | | ABCD:new                      :      0.300u      0.217s      0.307w     14 calls
| | | | ABCD:S                      :      0.067u      0.083s      0.110w     14 calls
| | | | ABCD:A                      :      0.133u      0.033s      0.102w     14 calls
| | | | ABCD:axpy                   :      0.033u      0.083s      0.080w     14 calls
| | FT2                             :      0.017u      0.033s      0.023w     14 calls
| | WmbejT2                         :      0.067u      0.017s      0.059w     14 calls
| | CT2                             :      0.067u      0.017s      0.049w     14 calls
cctriples                           :      0.633u      0.067s      0.605w      1 calls
| ET_RHF                            :      0.583u      0.033s      0.370w      1 calls

**************************************************************************************
